ClusterIndex Probability          OffspringID             FatherID             MotherID
           2      0.8533     40E_B2_F2_3_2016                  #18             40E_2016
           2      0.8533     40E_B2_F2_4_2016                 #211             40E_2016
           2      0.8533     40E_B2_F3_5_2016                 #208             40E_2016
           2      0.8533     40E_B2_F3_6_2016                 #207             40E_2016
           2      0.8533     40E_B2_F4_7_2016                 #207             40E_2016
           2      0.8533     40E_B4_F5_8_2016                  #17             40E_2016
           2      0.8533     40E_B4_F6_9_2016             40E_2016             40E_2016
           2      0.8533    40E_B4_F6_10_2016                 #208             40E_2016
           2      0.8533    40E_B4_F6_11_2016                  #18             40E_2016
           3      0.0254     10D_B2_F1_1_2016                  #20             10D_2016
           3      0.0254     10D_B2_F1_2_2016                  #21             10D_2016
           3      0.0254     10D_B2_F2_3_2016                  #22             10D_2016
           3      0.0254     10D_B2_F2_4_2016                  #21             10D_2016
           3      0.0254     10D_B2_F2_5_2016                  #22             10D_2016
           3      0.0254     10D_B2_F3_6_2016                  #23             10D_2016
           3      0.0254     10D_B2_F4_7_2016                  #22             10D_2016
           3      0.0254     10D_B3_F5_8_2016                  #21             10D_2016
           3      0.0254     10D_B3_F6_9_2016                  #24             10D_2016
           3      0.0254    10D_B3_F6_10_2016                  #22             10D_2016
           3      0.0254    10D_B2_F5_11_2016                  #22             10D_2016
           3      0.0254    10D_B3_F7_12_2016                  #22             10D_2016
           3      0.0254    10D_B3_F8_13_2016                  #22             10D_2016
           3      0.0254    10D_B3_F9_14_2016                  #25             10D_2016
           3      0.0254     31A_B2_F1_1_2016                  #20             31A_2016
           3      0.0254     31A_B2_F1_2_2016                 #143             31A_2016
           3      0.0254     31A_B2_F1_3_2016                 #144             31A_2016
           3      0.0254     31A_B2_F2_4_2016                 #145             31A_2016
           3      0.0254     31A_B2_F3_5_2016                 #145             31A_2016
           3      0.0254     31A_B2_F3_6_2016                 #145             31A_2016
           3      0.0254     31A_B2_F3_7_2016                  #21             31A_2016
           3      0.0254     31A_B3_F4_8_2016                 #146             31A_2016
           3      0.0254     31A_B3_F5_9_2016                  #22             31A_2016
           3      0.0254    31A_B3_F6_10_2016                  #24             31A_2016
           3      0.0254    31A_B3_F7_11_2016                  #21             31A_2016
           3      0.0254    31A_B3_F8_12_2016                  #21             31A_2016
           3      0.0254    31A_B3_F9_13_2016                 #147             31A_2016
           3      0.0254     32D_B1_F1_1_2016                  #20             32D_2016
           3      0.0254     32D_B1_F2_2_2016                  #21             32D_2016
           3      0.0254     32D_B1_F2_3_2016                 #147             32D_2016
           3      0.0254     32D_B1_F2_4_2016                 #174             32D_2016
           3      0.0254     32D_B2_F3_5_2016                 #175             32D_2016
           3      0.0254     32D_B2_F3_6_2016                 #174             32D_2016
           3      0.0254     32D_B2_F4_7_2016                  #24             32D_2016
           3      0.0254     32D_B2_F4_8_2016                 #143             32D_2016
           3      0.0254     32D_B2_F5_9_2016                  #25             32D_2016
           3      0.0254    32D_B2_F6_10_2016                  #21             32D_2016
           4      0.3031     10E_B6_F1_1_2016                  #26             10E_2016
           4      0.3031     10E_B6_F1_2_2016                  #27             10E_2016
           4      0.3031     10E_B6_F2_3_2016                  #28             10E_2016
           4      0.3031     10E_B6_F2_4_2016                  #29             10E_2016
           4      0.3031     10E_B6_F3_5_2016                  #30             10E_2016
           4      0.3031     10E_B6_F3_6_2016                  #30             10E_2016
           4      0.3031     10E_B9_F4_7_2016                  #31             10E_2016
           4      0.3031     10E_B9_F4_8_2016                  #31             10E_2016
           4      0.3031     10E_B9_F5_9_2016                  #27             10E_2016
           4      0.3031    10E_B9_F6_10_2016                  #27             10E_2016
           4      0.3031    10E_B6_F4_11_2016                  #32             10E_2016
           4      0.3031    10E_B6_F5_12_2016                  #32             10E_2016
           4      0.3031    10E_B9_F7_13_2016                  #32             10E_2016
           4      0.3031     27D_B2_F1_1_2016                  #31             27D_2016
           4      0.3031     27D_B2_F1_2_2016                  #30             27D_2016
           4      0.3031     27D_B2_F1_3_2016                 #102             27D_2016
           4      0.3031     27D_B2_F2_4_2016                 #103             27D_2016
           4      0.3031     27D_B2_F2_5_2016                 #104             27D_2016
           4      0.3031     27D_B2_F3_6_2016                  #30             27D_2016
           4      0.3031     27D_B2_F3_7_2016                  #29             27D_2016
           4      0.3031     27D_B2_F3_8_2016                 #105             27D_2016
           4      0.3031     29E_B4_F1_1_2016                 #105             29E_2016
           4      0.3031     29E_B5_F2_2_2016                 #140             29E_2016
           4      0.3031     29E_B5_F2_3_2016                 #141             29E_2016
           4      0.3031     29E_B5_F2_4_2016                  #27             29E_2016
           4      0.3031     29E_B5_F3_5_2016                 #142             29E_2016
           4      0.3031     29E_B5_F3_6_2016                 #103             29E_2016
           4      0.3031     29E_B5_F3_7_2016                 #140             29E_2016
           4      0.3031     29E_B5_F4_8_2016                 #102             29E_2016
           4      0.3031     29E_B5_F4_9_2016                 #105             29E_2016
           4      0.3031    29E_B5_F4_10_2016                  #30             29E_2016
           4      0.3031     36B_B4_F1_1_2016                 #142             36B_2016
           4      0.3031     36B_B4_F1_2_2016             36B_2016             36B_2016
           4      0.3031     36B_B4_F1_3_2016                 #190             36B_2016
           4      0.3031     36B_B4_F2_4_2016                 #105             36B_2016
           4      0.3031     36B_B4_F2_5_2016                 #105             36B_2016
           4      0.3031     36B_B4_F3_6_2016                  #26             36B_2016
           4      0.3031     36B_B4_F3_7_2016                 #140             36B_2016
           4      0.3031     36B_B6_F4_8_2016             36B_2016             36B_2016
           4      0.3031     36B_B6_F4_9_2016                 #191             36B_2016
           4      0.3031    36B_B6_F5_10_2016             36B_2016             36B_2016
           4      0.3031    36B_B6_F5_11_2016                 #192             36B_2016
           4      0.3031    36B_B6_F6_12_2016                  #27             36B_2016
